id,name,business_id,latitude,longitude
1,*NOW OPEN* - Eddy's Food Station,123,-33.8706423,151.205003
30,11 o'clock shop - Lifestyle Express,1180,-33.8507677,151.1349249
62,1st Stop 2 Shop Forfar,47,0.0,0.0
64,3 Session Street,708,0.0,0.0
69,4Ways Premier,409,0.0,0.0
70,7 day local,781,0.0,0.0
71,7 Eleven Local,896,0.0,0.0
73,8 Till Late Cardiff,301,0.0,0.0
74,Abi's Convenience,1433,49.2064983,-2.1300588
86,Adam Ferguson Test,464,50.0972308,-5.2703015
115,AF Blakemore Test Store,0,50.1561987,-5.071327
182,Agnew's Family Shopper,1168,50.22190393,-5.089813578
208,AJ Stores,1448,50.2219114,-5.0898979
294,AJR California Wines LTD,1063,50.22322508,-5.293480211
371,AKR & Sho LTD,794,50.2273607,-5.2685196
388,Alan - Rate Limit Test,361,50.2333618,-5.2273267
407,Alan Lumley Test,228,50.2612514,-5.1148283
492,Alans 1Hr Test,361,50.2704632,-5.0402485
586,Alans Test Store,361,50.3477673,-3.600588033
658,Alans VME Test,361,50.3770407,-4.2045921
781,Albert Off Licence,654,50.3770757,-4.1357025
787,Alices Test Store,351,50.38282,-4.03159
791,All In One Express,1125,50.3986908,-4.7927863
792,Allendale Store & Bank End Post Office,1354,50.4051754,-4.2244
806,Alliance Premier Thornton,1362,50.4121225,-4.2357238
808,Al's Convenience Store,1589,50.47930921,-4.311779136
809,Alsn test Satelites,0,50.4902585,-3.5242246
815,AM PM Local,1563,50.4907728,-3.5756432
818,Amar Bazar,1013,50.5156299,-3.7564416
824,Angel's Store,1506,50.5158909,-4.8360802
826,Aokas Food & Wine,595,50.593576,-3.457951
841,Aris Test Store,361,50.6076746,-1.9557638
892,Arlington Convenience Store,613,50.6098313,-1.9588027
895,Arwi's Londis Barry,240,50.6109835,-2.4714439
898,Ashington Convenience Premier,712,50.6308027,-1.178438613
899,Ashlawn Newsagents,1502,50.6384719,-3.4089945
910,Ashludie Pharmacy,480,50.6487372,-1.2822978
913,Atwal Convenience Store Annan,655,50.6620722,-1.15190315
918,Automated Testing - (Basket),1550,50.6800434,-2.2187976
937,Automated Testing - (Basket-Different-Fulfilment-Times),1550,50.6814695,-1.5154292
938,Automated Testing - (Closed-Delivery),1550,50.68405033,-1.529556222
939,Automated Testing - (Delivery-Collection-Asap-Future-Cash-CardCheckoutcom),1550,50.6886314,-3.2372
940,Automated Testing - (Open-Delivery-Sorting-1-DF-14-DT-33-MS-9-RT-0-DS-0-Has-Only-Asap-Slot-Type),1550,50.6911352,-1.0886998
943,Automated Testing - (Open-Delivery-Sorting-2-DF-30-TD-22-MS-15-RT-0-DS-0-Has-Only-Future-Slot-Type),1550,50.69163638,-1.31244748
950,Automated Testing - (Pre-Order-Collection),1550,50.6930822,-2.1194645
960,AWG - Test Store (Donot order),667,50.69392965,-1.303647405
969,Baba's Kitchen,523,50.6973807,-1.2953565
981,Bagria Discount Store,879,50.6999982,-3.5367106
982,Balaji Off Licence,1171,50.7001577,-3.536705
983,Balby Mini Market,589,50.7031203,-3.2269745
984,Bald Baker Edinburgh,1626,50.70982742,-3.455465877
985,Ballifield Premier Store,771,50.7101592,-2.4572993
986,Bam Test Store,434,50.7210547,-3.5211464
987,Bambury Stores Premier,1471,50.72417238,-1.16701441
988,Bargain Booze Denton,1123,50.7286711,-1.793965
990,Bargain Booze Select Convenience & Groceries,1197,50.7291125,-3.5303126
991,Bargain Booze Thorougoods Longridge,467,50.7308481,-1.9764751
992,Barnes Express,418,50.7316752,-3.5018445
993,Barneys Convenience Store,1049,50.732009,-0.7920727
994,Barry’s Premier Cathcart,65,50.7334535,-2.7558971
995,Baylis Food & Wine,662,50.7335899,-1.7865592
996,Bearpark Convenience Store,913,50.7341835,-1.951452
997,Beasleys CTN,383,50.73639403,-1.756997108
998,Beauchamp Convenience Store,1583,50.7371528,-1.9544065
1000,Bedlow Test Store,0,50.7409819,-1.8965374
1001,Bedmond Premier Store,659,50.7411734,-3.4690961
1002,Beechwood News,839,50.7521602,-1.8916794
1003,Beer & Wine Co,948,50.7529218,-1.9347712
1004,Beirut,832,50.7529218,-1.9347712
1005,Belle Vue Convenience - Go Local,1040,50.754421,-1.302095077
1006,Bellevue Booze - Go Local,1006,50.7544959,-1.6561702
1009,Bellevue News,758,50.7597244,-1.9009124
1010,Bellgrove Convenience Store,785,50.7695007,-0.8731412
1011,Belmont Local,637,50.7865838,-1.0619375
1012,Bembridge Convenience Stores,306,50.7894923,-1.0848851
1013,Bentley Convenience,1015,50.7896619,-1.0928405
1015,Berks Convenience Store,647,50.7907954,-1.0757087
1018,Best One - Aberdare,792,50.7909784,-1.0556239
1019,Best One Birnam Village Shop,684,50.7922082,-1.063341
1020,Best One Bromborough,1077,50.7922319,-1.0696438
1022,Best One Carluke,79,50.79249502,-0.682024885
1023,Best One Coalburn,1569,50.7950557,-1.1187826
1024,Best One Cubbington,1159,50.795643,-3.8380483
1025,Best One Eccles,1066,50.7973204,-1.0766309
1028,Best One Hurlford,385,50.797742,-1.1060443
1029,Best One Jeanfield Road,979,50.8084833,-1.0603029
1030,Best One Kelty,938,50.8090265,-1.0720207
1031,Best One Maryhill,421,50.8091231,-1.0614236
1032,Best One Melville Terrace,875,50.809487,-0.3848343
1033,Best One Pall Mall,1250,50.81396451,-1.073332135
